Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);Flag
H5;2017;2017;2017;2;0;4;Re-Import;826;United Kingdom;GBR;156;China;CHN;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;1631530;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;4091615;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;15731074;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;14137547;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;14121605;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;2257538;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;22987;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;47915953;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;3519262;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;5986320;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;16000692;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;18977519;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;15823784;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;1383339;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;5;Animal originated products not elsewhere specified or included;1;No Quantity;0;0;;154158;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;934932;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;344347;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;8270125;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;2657120;4
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;32216234;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;5427677;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;5107544;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;475846;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;1116392;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;385984;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;7421390;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;3143091;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;36926695;4
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;6089611;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;5518031;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;6;Trees and other plants, live bulbs, roots and the like cut flowers and ornamental foliage;1;No Quantity;0;0;;657375;4
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;92024432;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;3366513;0
H5;2017;2017;2017;2;0;3;Re-Export;826;United Kingdom;GBR;156;China;CHN;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;11373;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;185805289;4
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;22693532;4
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;173222143;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;15497754;4
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;52711380;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;93306;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;80834614;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;4349247;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;188739318;4
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;24765468;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;178766652;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;22417582;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;53291318;4
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;7;Vegetables and certain roots and tubers edible;1;No Quantity;0;0;;106961;0
