Period Desc.;Trade Flow;Reporter;Reporter ISO;Partner;Partner ISO;Commodity;Trade Value (US$)
2017;Export;United Kingdom;GBR;France;FRA;Vegetable plaiting materials vegetable products not elsewhere specified or included;665623
2017;Import;United Kingdom;GBR;Germany;DEU;Vegetable plaiting materials vegetable products not elsewhere specified or included;147247
2017;Export;United Kingdom;GBR;Germany;DEU;Vegetable plaiting materials vegetable products not elsewhere specified or included;1492850
2017;Import;United Kingdom;GBR;India;IND;Vegetable plaiting materials vegetable products not elsewhere specified or included;2387848
2018;Import;United Kingdom;GBR;China;CHN;Vegetable plaiting materials vegetable products not elsewhere specified or included;6600587
2018;Import;United Kingdom;GBR;France;FRA;Vegetable plaiting materials vegetable products not elsewhere specified or included;51544
2018;Export;United Kingdom;GBR;France;FRA;Vegetable plaiting materials vegetable products not elsewhere specified or included;249252
2018;Import;United Kingdom;GBR;Germany;DEU;Vegetable plaiting materials vegetable products not elsewhere specified or included;186862
2018;Export;United Kingdom;GBR;Germany;DEU;Vegetable plaiting materials vegetable products not elsewhere specified or included;1272092
2018;Import;United Kingdom;GBR;India;IND;Vegetable plaiting materials vegetable products not elsewhere specified or included;3124436
2018;Export;United Kingdom;GBR;India;IND;Vegetable plaiting materials vegetable products not elsewhere specified or included;28878
2017;Import;United Kingdom;GBR;China;CHN;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;22522836
2017;Export;United Kingdom;GBR;China;CHN;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;9740509
2017;Import;United Kingdom;GBR;France;FRA;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;179729200
2017;Export;United Kingdom;GBR;France;FRA;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;61583437
2017;Import;United Kingdom;GBR;Germany;DEU;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;98780658
2017;Export;United Kingdom;GBR;Germany;DEU;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;63922137
2017;Import;United Kingdom;GBR;India;IND;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;20020871
2017;Export;United Kingdom;GBR;India;IND;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;1184927
2018;Import;United Kingdom;GBR;China;CHN;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;32457900
2018;Export;United Kingdom;GBR;China;CHN;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;18432378
2018;Import;United Kingdom;GBR;France;FRA;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;170063074
2018;Export;United Kingdom;GBR;France;FRA;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;47112670
2018;Import;United Kingdom;GBR;Germany;DEU;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;112080018
2018;Export;United Kingdom;GBR;Germany;DEU;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;81798066
2018;Import;United Kingdom;GBR;India;IND;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;21625567
2018;Export;United Kingdom;GBR;India;IND;Animal or vegetable fats and oils and their cleavage products prepared animal fats animal or vegetable waxes;1462315
2017;Import;United Kingdom;GBR;China;CHN;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;38939343
2017;Export;United Kingdom;GBR;China;CHN;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;4380277
2017;Import;United Kingdom;GBR;France;FRA;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;202508426
2017;Export;United Kingdom;GBR;France;FRA;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;35045938
2017;Import;United Kingdom;GBR;Germany;DEU;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;533712325
2017;Export;United Kingdom;GBR;Germany;DEU;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;19624706
2017;Import;United Kingdom;GBR;India;IND;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;17769413
2017;Export;United Kingdom;GBR;India;IND;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;102131
2018;Import;United Kingdom;GBR;China;CHN;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;50258982
2018;Export;United Kingdom;GBR;China;CHN;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;5564111
2018;Import;United Kingdom;GBR;France;FRA;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;193486545
2018;Export;United Kingdom;GBR;France;FRA;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;36402351
2018;Import;United Kingdom;GBR;Germany;DEU;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;566327045
2018;Export;United Kingdom;GBR;Germany;DEU;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;21501735
2018;Import;United Kingdom;GBR;India;IND;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;19367817
2018;Export;United Kingdom;GBR;India;IND;Meat, fish or crustaceans, molluscs or other aquatic invertebrates preparations thereof;10493
2017;Import;United Kingdom;GBR;China;CHN;Sugars and sugar confectionery;25501767
2017;Export;United Kingdom;GBR;China;CHN;Sugars and sugar confectionery;1009595
2017;Import;United Kingdom;GBR;France;FRA;Sugars and sugar confectionery;288354423
2017;Export;United Kingdom;GBR;France;FRA;Sugars and sugar confectionery;26997288
2017;Import;United Kingdom;GBR;Germany;DEU;Sugars and sugar confectionery;149982534
2017;Export;United Kingdom;GBR;Germany;DEU;Sugars and sugar confectionery;35423464
2017;Import;United Kingdom;GBR;India;IND;Sugars and sugar confectionery;5295251
2017;Export;United Kingdom;GBR;India;IND;Sugars and sugar confectionery;787341
2018;Import;United Kingdom;GBR;China;CHN;Sugars and sugar confectionery;27147117
2018;Export;United Kingdom;GBR;China;CHN;Sugars and sugar confectionery;1712150
2018;Import;United Kingdom;GBR;France;FRA;Sugars and sugar confectionery;252739380
2018;Export;United Kingdom;GBR;France;FRA;Sugars and sugar confectionery;27529736
2018;Import;United Kingdom;GBR;Germany;DEU;Sugars and sugar confectionery;134310174
2018;Export;United Kingdom;GBR;Germany;DEU;Sugars and sugar confectionery;40684285
2018;Import;United Kingdom;GBR;India;IND;Sugars and sugar confectionery;15884184
2018;Export;United Kingdom;GBR;India;IND;Sugars and sugar confectionery;970184
2017;Import;United Kingdom;GBR;China;CHN;Cocoa and cocoa preparations;6187677
2017;Export;United Kingdom;GBR;China;CHN;Cocoa and cocoa preparations;3079446
